name	SRX_index	outlier	mean_ER_index	delta	gene
ENST00000782594.1	0.0	False	0.10482308726649606	0.10482308726649606	SLC44A3-AS1
ENST00000782604.1	0.0	False	0.10482308726649606	0.10482308726649606	SLC44A3-AS1
ENST00000782600.1	0.0	False	0.10482308726649606	0.10482308726649606	SLC44A3-AS1
ENST00000782591.1	0.0	False	0.10482308726649606	0.10482308726649606	SLC44A3-AS1
ENST00000635184.1	0.0	False	0.10482308726649606	0.10482308726649606	SLC44A3-AS1
ENST00000367805.7	0.068790151018638	False	0.1995945072025522	0.1308043561839142	CCDC181
ENST00000367806.8	0.068790151018638	False	0.1995945072025522	0.1308043561839142	CCDC181
ENST00000545005.5	0.0952479014104219	False	0.23951340864306264	0.14426550723264076	CCDC181
ENST00000470448.5	0.0	False	0.2993917608038283	0.2993917608038283	SPATA17
ENST00000506254.5	0.0	False	0.1467523221730945	0.1467523221730945	NMNAT3
ENST00000296202.12	0.0	False	0.10482308726649606	0.10482308726649606	NMNAT3
ENST00000704800.1	0.0	False	0.10482308726649606	0.10482308726649606	NMNAT3
ENST00000339837.9	0.0	False	0.10482308726649606	0.10482308726649606	NMNAT3
ENST00000645290.1	0.0	False	0.1467523221730945	0.1467523221730945	NMNAT3
ENST00000511444.5	0.0	False	0.10482308726649606	0.10482308726649606	NMNAT3
ENST00000512391.5	0.0	False	0.10482308726649606	0.10482308726649606	NMNAT3
ENST00000509291.5	0.0	False	0.1222936018109121	0.1222936018109121	NMNAT3
ENST00000381950.2	0.0	False	0.1197567043215313	0.1197567043215313	TLR6
ENST00000689018.1	0.6191113591677425	True	1.332545132473129	0.7134337733053865	GTF2H5
ENST00000402384.8	0.0	True	0.4226366991732582	0.4226366991732582	ICA1
ENST00000406470.6	0.0	True	0.4226366991732582	0.4226366991732582	ICA1
ENST00000650486.1	0.0	True	0.4433415716469994	0.4433415716469994	ICA1
ENST00000265577.11	0.0	True	0.4226366991732582	0.4226366991732582	ICA1
ENST00000396675.7	0.0	True	0.4226366991732582	0.4226366991732582	ICA1
ENST00000455539.5	0.0	True	0.4327396425672697	0.4327396425672697	ICA1
ENST00000339809.10	0.0	True	0.41409619958681154	0.41409619958681154	ICA1
ENST00000401396.5	0.0	True	0.40062706697184247	0.40062706697184247	ICA1
ENST00000486677.1	0.0	True	0.3230466177753939	0.3230466177753939	ICA1
ENST00000407906.5	0.0	True	0.5175371045746444	0.5175371045746444	ICA1
ENST00000317367.9	0.0	True	0.43647293475946225	0.43647293475946225	ICA1
ENST00000447326.5	0.0	True	0.4742781132115156	0.4742781132115156	ICA1
ENST00000430867.5	0.0	True	0.4870982193973213	0.4870982193973213	ICA1
ENST00000446305.1	0.0	True	0.4862574483440717	0.4862574483440717	ICA1
ENST00000490851.5	0.0	True	1.026811127945849	1.026811127945849	HDAC9
ENST00000496026.1	0.0	True	0.965664327040393	0.965664327040393	HDAC9
ENST00000497788.5	0.0	False	0.1834404027163681	0.1834404027163681	RUNDC3B
ENST00000394654.4	0.0	False	0.3668808054327362	0.3668808054327362	RUNDC3B
ENST00000338056.7	0.0	False	0.3668808054327362	0.3668808054327362	RUNDC3B
ENST00000476114.5	0.0	False	0.1834404027163681	0.1834404027163681	RUNDC3B
ENST00000493037.5	0.0	False	0.3668808054327362	0.3668808054327362	RUNDC3B
ENST00000489461.5	0.0	False	0.3668808054327362	0.3668808054327362	RUNDC3B
ENST00000533551.5	0.2424159640503252	False	0.41620490689654	0.1737889428462148	PRKY
ENST00000472666.1	0.1882246159019664	False	0.48356805307740136	0.295343437175435	PRKY
