name	index_SRX	index_ER14	index_ER23	index_ER16	index_ER18	index_ER17	index_ER21	index_ER13	index_ER22	index_ER15	index_ER19	index_ER12	index_ER20	outlier	gene
ENST00000370859.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SLC44A5
ENST00000370855.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SLC44A5
ENST00000370360.8	1.6006450006521145	0.2891135603020799	0.5259528512488459	0.2714287006803336	0.1142362274628242	0.304727631540761	0.2305617252165359	0.1325433748194096	0.3290062913314153	0.2777074937824378	0.2133401602184603	0.3787286818195867	0.2941124980304967	True	GLMN
ENST00000367669.8	0.12155323899745	0.0250403196096314	0.1011884776427537	0.0529101462260074	0.0	0.0	0.0545629642967243	0.0454932922983836	0.0218233472060714	0.0518349910811418	0.0795101222348864	0.0695835424981485	0.0287634864797231	False	COP1
ENST00000308769.12	0.1631530533473243	0.0340588318638082	0.138622605933446	0.0770531782509699	0.0	0.0	0.0655203069953984	0.0584267217533274	0.0300149076542591	0.0720630912363774	0.0976599694714935	0.088090176655411	0.0361286196925364	False	COP1
ENST00000303635.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	CAMTA1
ENST00000700415.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	CAMTA1
ENST00000476864.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	CAMTA1
ENST00000700417.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	CAMTA1
ENST00000636203.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	KAZN
ENST00000359600.6	0.0788610522854843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	ZSWIM5
ENST00000371839.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	AGBL4
ENST00000371838.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	AGBL4
ENST00000493793.2	0.0028751598409174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086952268639033	0.0	True	EPS15
ENST00000371730.6	0.0028751598409174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086952268639033	0.0	True	EPS15
ENST00000371733.8	0.0028751598409174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086952268639033	0.0	True	EPS15
ENST00000706287.1	0.0028731517852568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086787663133685	0.0	True	EPS15
ENST00000706288.1	0.0028724447808396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086729610681618	0.0	True	EPS15
ENST00000706292.1	0.0028041491124984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081139934946057	0.0	True	EPS15
ENST00000329654.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4B
ENST00000341517.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4B
ENST00000423207.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4B
ENST00000328299.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ST6GALNAC3
ENST00000370801.8	0.0018336784010471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	ZZZ3
ENST00000370798.5	0.0018046739973727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	ZZZ3
ENST00000370721.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370723.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370725.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370727.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370728.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370730.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	ADGRL2
ENST00000370571.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	COL24A1
ENST00000370192.8	0.0460579343016465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	DPYD
ENST00000695767.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000695768.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000706647.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000530472.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000695794.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000524974.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000585156.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	PDE4DIP
ENST00000485254.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	DNM3
ENST00000627582.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	DNM3
ENST00000367731.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	DNM3
ENST00000367649.8	0.0	0.0	0.0	0.1311780717837891	0.0142531438159314	0.0253309103473222	0.0211383956126837	0.0191990981031675	0.0	0.0234797231458884	0.013880741664684	0.070818370001905	0.0	False	RASAL2
ENST00000696605.1	0.0	0.0	0.0	0.1317953692379064	0.0143536054725895	0.025481515708505	0.0212725041821743	0.0193085679066886	0.0	0.0236810073584783	0.0139681881034431	0.0712969521622405	0.0	False	RASAL2
ENST00000642319.1	0.0280426886839163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	ACBD6
ENST00000367595.4	0.009995102399824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	ACBD6
ENST00000538004.5	0.0057426049604621	0.0	0.0062759274251752	0.0	0.0084893607086918	0.0	0.0	0.0046056419113413	0.0	0.0	0.0	0.0	0.0	False	NEK7
ENST00000367385.9	0.0036788104198626	0.0	0.0056630913683161	0.0	0.0083740872244925	0.0	0.0	0.0042631197510338	0.0	0.0	0.0	0.0	0.0	False	NEK7
ENST00000271751.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	KCNH1
ENST00000639952.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	KCNH1
ENST00000343846.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000484758.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000366878.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000681669.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000681305.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000681285.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000680429.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SUSD4
ENST00000366669.9	0.0147949034319392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	COG2
ENST00000366668.7	0.0147874868089456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	COG2
ENST00000534989.1	0.0147946473360462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	COG2
ENST00000602956.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0374701573615463	0.0	False	TSNAX-DISC1
ENST00000439617.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368112951778123	0.0	0.0	0.0	0.0283378839251936	0.0	False	DISC1
ENST00000628350.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5040957781978577	0.0	0.0	0.0	0.3994104701460644	0.0	False	DISC1
ENST00000535983.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0642178268687387	0.0	0.0	0.0	0.0542467031566156	0.0	False	DISC1
ENST00000366637.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0353120748757235	0.0	0.0	0.0	0.0275899172647356	0.0	False	DISC1
ENST00000622252.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368058418232141	0.0	0.0	0.0	0.0283335883356283	0.0	False	DISC1
ENST00000630181.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0370690262337498	0.0	0.0	False	SMYD3
ENST00000490107.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0368427936416706	0.0	0.0	False	SMYD3
ENST00000337495.9	0.0173442370770424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	SCMH1
ENST00000372596.5	0.0180780139907041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	SCMH1
ENST00000372597.5	0.0178175966035823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	SCMH1
ENST00000695335.1	0.0185019316347018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	SCMH1
ENST00000695336.1	0.037873438016568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	SCMH1
ENST00000606738.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	TRABD2B
ENST00000371847.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SPATA6
ENST00000396199.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SPATA6
ENST00000371843.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	SPATA6
ENST00000287727.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024522160165263	0.0	False	ZFYVE9
ENST00000371591.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0266151990352522	0.0	False	ZFYVE9
ENST00000357206.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0250033846493484	0.0	False	ZFYVE9
ENST00000371218.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	FGGY
ENST00000303721.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	FGGY
ENST00000371212.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	FGGY
ENST00000371210.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	FGGY
ENST00000371059.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0760988097385168	0.0	False	LEPR
ENST00000371060.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0728881911440504	0.0	False	LEPR
ENST00000349533.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0781308353967687	0.0	False	LEPR
ENST00000344610.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0781582538945867	0.0	False	LEPR
ENST00000616738.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0728482116663925	0.0	False	LEPR
ENST00000651989.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	LRRC7
ENST00000310961.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	LRRC7
ENST00000370895.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	FPGT-TNNI3K
ENST00000263187.4	1.116081808796585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	MSH4
ENST00000426972.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	DDAH1
ENST00000316005.11	0.0246494235732297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	PKN2
ENST00000370521.8	0.0258312024055702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	PKN2
ENST00000370513.9	0.0258927783746474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	PKN2
ENST00000370453.5	0.0261744748615108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0443086139268619	0.0398092341499534	True	ENSG00000271949
ENST00000370440.5	0.023870121824677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055713782698419	0.0	0.0	True	ZNF644
ENST00000347275.9	0.0270815489159149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051100970407428	0.0	0.0	True	ZNF644
ENST00000337393.10	0.0238536497206597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0556623964331536	0.0	0.0	True	ZNF644
