name	index_SRX	median_ER_index	outlier	delta	gene
ENST00000517716.2	0.0	0.2556626071705691	False	0.2556626071705691	ENSG00000253515
ENST00000658011.1	0.0	0.2391120335522005	False	0.2391120335522005	CCDC54-AS1
ENST00000295872.8	0.4339412435618268	0.7396520824534556	True	0.3057108388916288	SPICE1
ENST00000325617.10	0.0	0.5720079783672822	False	0.5720079783672822	CLGN
ENST00000414773.5	0.0	0.5719058231242945	False	0.5719058231242945	CLGN
ENST00000678270.1	1.6915334205170272	2.712752583731424	False	1.021219163214397	SKP2
ENST00000368948.6	1.2840385187275616	1.927664690900316	False	0.6436261721727543	AK9
ENST00000406451.8	0.0	1.1219944573473808	False	1.1219944573473808	HDAC9
ENST00000441542.7	0.0	1.1219944573473808	False	1.1219944573473808	HDAC9
ENST00000686413.1	0.0	1.1219944573473808	False	1.1219944573473808	HDAC9
ENST00000401921.5	0.0	1.061154323673292	False	1.061154323673292	HDAC9
ENST00000402384.8	0.0	0.602043561614455	True	0.602043561614455	ICA1
ENST00000406470.6	0.0	0.6019801384178081	True	0.6019801384178081	ICA1
ENST00000265577.11	0.0	0.600148786886749	True	0.600148786886749	ICA1
ENST00000396675.7	0.0	0.5991812437962376	True	0.5991812437962376	ICA1
ENST00000401396.5	0.0	0.5757610591604485	True	0.5757610591604485	ICA1
ENST00000407906.5	0.0	0.7111098937377952	True	0.7111098937377952	ICA1
ENST00000652088.1	0.0	0.1802825026817022	False	0.1802825026817022	ENSG00000291185
ENST00000262455.7	0.3096352871632716	2.001924179551219	False	1.6922888923879476	ERP44
ENST00000690739.1	0.3074285927223267	1.9894923897087229	False	1.6820637969863963	ERP44
ENST00000687093.1	0.3074285927223267	1.9894923897087229	False	1.6820637969863963	ERP44
ENST00000689406.1	0.3036604891694425	1.9525326053988477	False	1.648872116229405	ERP44
ENST00000371790.5	0.0	0.5775880436707902	True	0.5775880436707902	SLC16A12
ENST00000530617.5	0.7697776248284981	1.6565906602561051	True	0.886813035427607	PAK1
ENST00000375735.7	0.0	0.3988910827898442	False	0.3988910827898442	DYNC2H1
ENST00000650373.2	0.0	0.3988910827898442	False	0.3988910827898442	DYNC2H1
ENST00000334267.11	0.0	0.3682620926223354	False	0.3682620926223354	DYNC2H1
ENST00000529689.6	0.2922774453392464	0.4727182481061724	False	0.18044080276692603	CCDC90B
ENST00000324472.9	0.0	0.1240612697257418	False	0.1240612697257418	DPY19L2
ENST00000652519.1	0.0	0.3627282240644786	False	0.3627282240644786	ENSG00000290476
ENST00000394412.8	0.0	0.3860556692275026	True	0.3860556692275026	KIF7
ENST00000696512.1	0.0	0.3860556692275026	True	0.3860556692275026	KIF7
ENST00000558879.5	0.0	0.1266683274291818	True	0.1266683274291818	LRRC28
ENST00000301981.8	0.0	0.7265637771628894	False	0.7265637771628894	LRRC28
ENST00000447360.6	0.0	0.1583924225065072	True	0.1583924225065072	LRRC28
ENST00000331450.9	0.0	0.1583924225065072	True	0.1583924225065072	LRRC28
ENST00000624829.4	0.0	0.7854429151870886	False	0.7854429151870886	LINC01572
ENST00000534369.1	0.0	0.431353659676341	True	0.431353659676341	KRBOX5
ENST00000597626.5	0.0446890114040895	0.1519184258820383	False	0.1072294144779488	LINC00649
ENST00000615172.4	0.0895235111121058	0.2578854332240837	True	0.1683619221119779	POFUT2
