name	index	count_reads	coverage_after	gene
ENST00000373381.9	0.0	0	0.0311447173913043	CSMD2
ENST00000619121.4	0.0	0	0.0311383478260869	CSMD2
ENST00000373388.7	0.0	0	0.0345078444444444	CSMD2
ENST00000370859.8	0.0	0	10.683172222222222	SLC44A5
ENST00000370855.5	0.0	0	8.867555555555557	SLC44A5
ENST00000370360.8	0.2941124980304967	14	47.60083333333333	GLMN
ENST00000367669.8	0.02876348647972318	2	69.5326	COP1
ENST00000308769.12	0.03612861969253642	2	55.357775	COP1
ENST00000303635.12	0.0	0	0.8093735388888889	CAMTA1
ENST00000700415.1	0.0	0	0.7856695105263157	CAMTA1
ENST00000476864.2	0.0	0	0.8678918058823529	CAMTA1
ENST00000700417.1	0.0	0	0.87474379375	CAMTA1
ENST00000636203.1	0.0	0	25.9983336	KAZN
ENST00000359600.6	0.0	0	1.101282076923077	ZSWIM5
ENST00000371839.6	0.0	0	0.8716653333333333	AGBL4
ENST00000371838.5	0.0	0	1.35177975	AGBL4
ENST00000371836.1	0.0	0	0.487805	AGBL4
ENST00000493793.2	0.0	0	142.10525	EPS15
ENST00000371730.6	0.0	0	142.10525	EPS15
ENST00000371733.8	0.0	0	142.10525	EPS15
ENST00000706287.1	0.0	0	142.38825	EPS15
ENST00000706288.1	0.0	0	142.48775	EPS15
ENST00000706292.1	0.0	0	153.3335	EPS15
ENST00000646341.1	0.0	0	0.310064	ENSG00000234810
ENST00000329654.8	0.0	0	12.950428571428573	PDE4B
ENST00000341517.9	0.0	0	12.879028571428572	PDE4B
ENST00000423207.6	0.0	0	12.87975	PDE4B
ENST00000420587.5	0.0880164486145073	1	11.361512714285714	GNG12-AS1
ENST00000413628.5	0.08746518375472989	1	11.433120666666667	GNG12-AS1
ENST00000557284.7	0.0	0	0.2472667857142857	FPGT-TNNI3K
ENST00000370899.7	0.0	0	0.3147031818181818	FPGT-TNNI3K
ENST00000326637.8	0.0	0	0.2472667857142857	TNNI3K
ENST00000328299.4	0.0	0	1.520935	ST6GALNAC3
ENST00000370801.8	0.0	0	59.17812	ZZZ3
ENST00000370798.5	0.0	0	63.81272	ZZZ3
ENST00000370721.5	0.0	0	24.27985	ADGRL2
ENST00000370723.5	0.0	0	24.512186363636363	ADGRL2
ENST00000370725.5	0.0	0	23.533395652173912	ADGRL2
ENST00000370727.5	0.0	0	24.603095454545453	ADGRL2
ENST00000370728.5	0.0	0	24.44505	ADGRL2
ENST00000370730.5	0.0	0	25.6091	ADGRL2
ENST00000370571.7	0.0	0	2.2384925	COL24A1
ENST00000645056.1	0.0	0	0.0197333333333333	PKN2-AS1
ENST00000370192.8	0.0	0	2.4671374285714287	DPYD
ENST00000648951.1	0.0	0	30.64452222222222	LINC01709
ENST00000657394.1	0.0	0	23.89452857142857	LINC01709
ENST00000695767.1	0.0	0	152.85329388888889	PDE4DIP
ENST00000695768.1	0.0	0	140.66628022727272	PDE4DIP
ENST00000706647.1	0.0	0	150.93544047619048	PDE4DIP
ENST00000530472.5	0.0	0	178.78101666666666	PDE4DIP
ENST00000695794.1	0.0	0	141.13591152173913	PDE4DIP
ENST00000524974.5	0.0	0	142.85780955555555	PDE4DIP
ENST00000620605.4	0.0	0	123.584775	PDE4DIP
ENST00000585156.5	0.0	0	141.27521369565218	PDE4DIP
ENST00000650631.1	0.0	0	3.51184	LINC00970
ENST00000715525.1	0.0	0	3.101574285714286	LINC00970
ENST00000715526.1	0.0	0	3.69801	LINC00970
ENST00000715529.1	0.0	0	0.1666666666666666	LINC00970
ENST00000688173.1	0.0	0	0.2522525	DNM3
ENST00000485254.3	0.0	0	0.6394018333333333	DNM3
ENST00000627582.3	0.0	0	0.5386078571428572	DNM3
ENST00000355305.9	0.0	0	0.6198535000000001	DNM3
ENST00000367731.5	0.0	0	0.6283758333333334	DNM3
ENST00000520906.5	0.0	0	0.3355205	DNM3
ENST00000367649.8	0.0	0	63.44804666666667	RASAL2
ENST00000696605.1	0.0	0	63.0487	RASAL2
ENST00000642319.1	0.0	0	72.092825	ACBD6
ENST00000367595.4	0.0	0	180.377	ACBD6
ENST00000656143.1	0.0	0	0.37889475	ENSG00000227240
ENST00000538004.5	0.0	0	227.196	NEK7
ENST00000367385.9	0.0	0	240.576	NEK7
ENST00000367007.5	0.0	0	0.2611259999999999	KCNH1
ENST00000638498.1	0.0	0	0.2621506	KCNH1
ENST00000271751.10	0.0	0	0.167525	KCNH1
