name	coverage_before_LINE	coverage_after_LINE	gene	strand_transcript	strand_LINE
ENST00000373381.9	0.0	0.08755893478260869	CSMD2	-	+
ENST00000619121.4	0.0	0.08755893478260869	CSMD2	-	+
ENST00000373388.7	0.0	0.08950468888888889	CSMD2	-	+
ENST00000370859.8	2.3059950000000002	8.512508333333333	SLC44A5	-	+
ENST00000370855.5	2.3059950000000002	7.760523888888889	SLC44A5	-	+
ENST00000370360.8	23.6684625	27.3551	GLMN	-	+
ENST00000431862.1	0.0	0.0	ENSG00000228560	-	+
ENST00000367669.8	36.7347781875	45.822485	COP1	-	+
ENST00000308769.12	39.2999	33.3167775	COP1	-	+
ENST00000303635.12	33.9060118	0.24942594444444444	CAMTA1	+	-
ENST00000700415.1	32.71091475	0.21464394736842105	CAMTA1	+	-
ENST00000476864.2	37.7666718	0.24320617647058823	CAMTA1	+	-
ENST00000700417.1	38.2562118	0.2530428125	CAMTA1	+	-
ENST00000636203.1	1.396225	36.72993366666667	KAZN	+	-
ENST00000359600.6	0.638073	0.7281579230769231	ZSWIM5	-	+
ENST00000371839.6	0.258716	0.4873882222222222	AGBL4	-	+
ENST00000371838.5	0.258716	0.87641825	AGBL4	-	+
ENST00000371836.1	0.258716	1.0	AGBL4	-	+
ENST00000493793.2	75.18725555555555	91.168425	EPS15	-	+
ENST00000371730.6	65.81736842105263	91.168425	EPS15	-	+
ENST00000371733.8	67.99912380952381	91.168425	EPS15	-	+
ENST00000706287.1	63.116316363636365	91.320825	EPS15	-	+
ENST00000706288.1	67.452445	91.374675	EPS15	-	+
ENST00000706292.1	65.6445	98.00489999999999	EPS15	-	+
ENST00000646341.1	0.0	0.0	ENSG00000234810	+	-
ENST00000443012.1	0.0	0.126888	ENSG00000226883	-	+
ENST00000635290.1	0.0	0.0	ENSG00000231252	-	+
ENST00000634701.1	0.0	0.0	ENSG00000231252	-	+
ENST00000329654.8	0.273611	13.021817142857143	PDE4B	+	-
ENST00000341517.9	0.273611	12.935024285714286	PDE4B	+	-
ENST00000423207.6	1.84488	12.935595714285714	PDE4B	+	-
ENST00000420587.5	1.4590593333333333	7.934827	GNG12-AS1	+	-
ENST00000413628.5	1.1920433333333333	8.371741333333334	GNG12-AS1	+	-
ENST00000661832.1	0.0	0.0	LINC01707	+	-
ENST00000557284.7	5.872646153846153	0.4134367857142857	FPGT-TNNI3K	+	-
ENST00000370899.7	5.949846153846154	0.5261922727272728	FPGT-TNNI3K	+	-
ENST00000326637.8	0.0	0.4134367857142857	TNNI3K	+	-
ENST00000328299.4	1.128749	1.1182595000000002	ST6GALNAC3	+	-
ENST00000370801.8	18.75134	42.17773	ZZZ3	-	+
ENST00000370798.5	19.818825	44.69779	ZZZ3	-	+
ENST00000370721.5	0.193173	14.081536818181819	ADGRL2	+	-
ENST00000370723.5	0.193173	14.081409545454546	ADGRL2	+	-
ENST00000370725.5	0.193173	13.469174347826087	ADGRL2	+	-
ENST00000370727.5	0.193173	14.00273818181818	ADGRL2	+	-
