name	coverage_before_LINE	coverage_after_LINE	gene	strand_transcript	strand_LINE
ENST00000373381.9	0.03110288	0.027879108695652174	CSMD2	-	+
ENST00000619121.4	0.03110288	0.02788034782608696	CSMD2	-	+
ENST00000373388.7	0.03110288	0.02851251111111111	CSMD2	-	+
ENST00000370859.8	7.1945	11.355947777777779	SLC44A5	-	+
ENST00000370855.5	7.1945	10.210042222222222	SLC44A5	-	+
ENST00000370360.8	37.087505	61.27653333333333	GLMN	-	+
ENST00000431862.1	0.0	0.0	ENSG00000228560	-	+
ENST00000367669.8	60.860970625	79.4374	COP1	-	+
ENST00000308769.12	64.94468666666667	60.260600000000004	COP1	-	+
ENST00000303635.12	57.480934	0.8075655	CAMTA1	+	-
ENST00000700415.1	52.6914675	0.8808594210526316	CAMTA1	+	-
ENST00000476864.2	62.761013999999996	0.9730487647058824	CAMTA1	+	-
ENST00000700417.1	63.829114	1.0468905625	CAMTA1	+	-
ENST00000636203.1	0.657235	30.8678524	KAZN	+	-
ENST00000359600.6	0.994125	2.3835477692307694	ZSWIM5	-	+
ENST00000371839.6	1.205524	0.40744733333333333	AGBL4	-	+
ENST00000371838.5	1.205524	0.2439025	AGBL4	-	+
ENST00000371836.1	1.205524	0.487805	AGBL4	-	+
ENST00000493793.2	111.14424444444444	145.01825	EPS15	-	+
ENST00000371730.6	92.67814736842105	145.01825	EPS15	-	+
ENST00000371733.8	96.50292857142857	145.01825	EPS15	-	+
ENST00000706287.1	90.15772045454545	145.295	EPS15	-	+
ENST00000706288.1	96.528675	145.39275	EPS15	-	+
ENST00000706292.1	93.7463380952381	156.60925	EPS15	-	+
ENST00000646341.1	0.0	0.0	ENSG00000234810	+	-
ENST00000443012.1	0.0	0.0	ENSG00000226883	-	+
ENST00000635290.1	0.0	0.003748333333333333	ENSG00000231252	-	+
ENST00000634701.1	0.0	0.0	ENSG00000231252	-	+
ENST00000329654.8	0.404044	18.249005714285715	PDE4B	+	-
ENST00000341517.9	0.404044	18.15784142857143	PDE4B	+	-
ENST00000423207.6	7.42382	18.15869142857143	PDE4B	+	-
ENST00000420587.5	2.1965386666666666	20.59648957142857	GNG12-AS1	+	-
ENST00000413628.5	1.9728166666666667	21.1168095	GNG12-AS1	+	-
ENST00000661832.1	0.0	0.09456925	LINC01707	+	-
ENST00000557284.7	8.995169461538461	0.7726455	FPGT-TNNI3K	+	-
ENST00000370899.7	9.103107923076923	0.983367	FPGT-TNNI3K	+	-
ENST00000326637.8	1.1039002727272726	0.7726455	TNNI3K	+	-
ENST00000328299.4	2.4335433333333336	1.247052	ST6GALNAC3	+	-
ENST00000370801.8	29.1264	67.10027	ZZZ3	-	+
ENST00000370798.5	30.190725	72.1323	ZZZ3	-	+
ENST00000370721.5	0.6160733333333334	28.91027727272727	ADGRL2	+	-
ENST00000370723.5	0.6160733333333334	28.71112727272727	ADGRL2	+	-
ENST00000370725.5	0.6160733333333334	27.506295652173915	ADGRL2	+	-
ENST00000370727.5	0.6160733333333334	28.756581818181818	ADGRL2	+	-
ENST00000370728.5	0.6160733333333334	28.46569090909091	ADGRL2	+	-
ENST00000370730.5	0.6160733333333334	29.8212	ADGRL2	+	-
ENST00000650063.1	0.0	0.0	ENSG00000233290	-	+
ENST00000370571.7	0.531459125	0.48629049999999996	COL24A1	-	+
ENST00000645056.1	0.98502	0.0	PKN2-AS1	-	+
ENST00000656153.1	0.48779	0.0	ARHGAP29-AS1	+	-
ENST00000370192.8	4.0959618749999995	3.7949785714285715	DPYD	-	+
ENST00000648951.1	0.0	18.54514111111111	LINC01709	+	-
ENST00000657394.1	0.0	14.509895714285715	LINC01709	+	-
ENST00000663157.1	0.0	0.0	LINC01709	+	-
ENST00000656484.1	0.0	0.0	LINC01709	+	-
ENST00000695767.1	0.337229	195.32181222222223	PDE4DIP	+	-
ENST00000695768.1	0.337229	189.6819181818182	PDE4DIP	+	-
ENST00000706647.1	0.337229	201.80879761904762	PDE4DIP	+	-
ENST00000530472.5	0.362007	232.10933333333332	PDE4DIP	+	-
ENST00000695794.1	0.603279	188.49135217391304	PDE4DIP	+	-
ENST00000524974.5	0.487179	190.96076444444444	PDE4DIP	+	-
ENST00000620605.4	0.417625	138.1963375	PDE4DIP	+	-
ENST00000585156.5	0.374016	188.6653152173913	PDE4DIP	+	-
ENST00000650631.1	0.0	27.903216666666665	LINC00970	-	+
ENST00000715525.1	0.0	26.18222857142857	LINC00970	-	+
ENST00000715526.1	0.0	31.4277	LINC00970	-	+
ENST00000715528.1	0.0	0.0	LINC00970	-	+
ENST00000715529.1	0.0	0.0	LINC00970	-	+
ENST00000457405.2	0.0	0.0	LINC00970	-	+
ENST00000669750.1	1.64976425	0.0	ENSG00000231424	-	+
ENST00000670085.1	0.794779	0.0990682	ENSG00000231424	-	+
ENST00000664920.1	1.5669846	0.610272	ENSG00000231424	-	+
ENST00000688173.1	0.823390076923077	0.89189	DNM3	+	-
ENST00000485254.3	0.7136047333333333	1.5210433333333333	DNM3	+	-
ENST00000627582.3	0.7645765	1.1252804285714286	DNM3	+	-
ENST00000355305.9	0.7136047333333333	1.2322733333333333	DNM3	+	-
ENST00000367731.5	0.7645765	1.3128271666666667	DNM3	+	-
ENST00000520906.5	0.7645765	0.9198415	DNM3	+	-
ENST00000432694.2	0.0	0.23708925	ENSG00000224228	+	-
ENST00000367649.8	33.7585	70.15996	RASAL2	+	-
ENST00000696605.1	27.55423	69.66890666666667	RASAL2	+	-
ENST00000642319.1	354.1401666666667	111.063625	ACBD6	-	+
ENST00000367595.4	369.56916666666666	295.364	ACBD6	-	+
ENST00000294854.13	0.0	0.0	RGSL1	+	-
ENST00000655976.1	0.0	0.256173	LINC01350	-	+
ENST00000439633.7	0.0	0.1280865	LINC01350	-	+
ENST00000665129.1	0.0	0.456044	LINC01350	-	+
ENST00000656143.1	0.0	0.0	ENSG00000227240	+	-
ENST00000538004.5	138.8692888888889	235.589	NEK7	+	-
ENST00000367385.9	140.16285555555555	238.832	NEK7	+	-
ENST00000367007.5	0.0	0.0	KCNH1	-	+
ENST00000638498.1	0.0	0.0	KCNH1	-	+
ENST00000271751.10	0.0	0.12371275	KCNH1	-	+
ENST00000639952.1	0.0	0.123734	KCNH1	-	+
ENST00000640044.1	0.0	0.0	KCNH1	-	+
ENST00000640566.1	0.0	0.0	KCNH1	-	+
ENST00000657470.1	1.16833525	0.0	LYPLAL1-DT	-	+
ENST00000669535.1	1.094404	0.0	LYPLAL1-DT	-	+
ENST00000687117.1	1.12305325	0.0	LYPLAL1-DT	-	+
ENST00000652067.1	0.0	0.0	ENSG00000236230	-	+
ENST00000343846.7	0.859224	2.3406216666666664	SUSD4	-	+
ENST00000484758.6	0.524455	2.3358933333333334	SUSD4	-	+
ENST00000366878.9	0.84029	2.343665	SUSD4	-	+
ENST00000494793.6	0.84029	1.9761883333333332	SUSD4	-	+
ENST00000681669.1	0.6302175	2.343665	SUSD4	-	+
ENST00000681305.1	0.6302175	2.343665	SUSD4	-	+
ENST00000681285.1	0.6302175	2.3488583333333333	SUSD4	-	+
ENST00000680429.1	0.6302175	2.3491216666666666	SUSD4	-	+
ENST00000344029.6	0.84029	2.5149766666666666	SUSD4	-	+
ENST00000366669.9	38.19246666666667	56.71729333333333	COG2	+	-
ENST00000366668.7	42.411699999999996	56.74682	COG2	+	-
ENST00000534989.1	28.8755557	56.72352	COG2	+	-
ENST00000602956.5	139.22719999999998	15.9057475	TSNAX-DISC1	+	-
ENST00000439617.8	16.219444444444445	17.51105	DISC1	+	-
ENST00000628350.2	15.436075	1.18021	DISC1	+	-
ENST00000535983.5	16.254194444444444	9.62712	DISC1	+	-
ENST00000366637.8	16.254194444444444	18.2702	DISC1	+	-
ENST00000622252.4	15.72013125	17.51385	DISC1	+	-
ENST00000536534.7	0.1333334	0.011563279999999999	PLD5	-	+
ENST00000427495.5	0.1333334	0.0434782	PLD5	-	+
ENST00000442594.6	0.11111116666666666	0.0434782	PLD5	-	+
ENST00000407071.7	7.821453333333333	7.810543333333333	KIF26B	+	-
ENST00000630181.2	26.93176	56.09775	SMYD3	-	+
ENST00000490107.6	28.859949999999998	56.4328	SMYD3	-	+
ENST00000419394.2	0.36771766666666666	10.5833	ENSG00000293331	-	+
ENST00000648019.1	26.29196	8.485383333333333	ENSG00000293331	-	+
ENST00000690803.1	0.0	16.642157142857144	GRHL3	+	-
ENST00000655056.1	0.0	0.0	ENSG00000223944	-	+
ENST00000337495.9	26.7281	67.39166153846153	SCMH1	-	+
ENST00000372596.5	26.3645	64.28443571428572	SCMH1	-	+
ENST00000372597.5	26.3645	66.22832307692308	SCMH1	-	+
ENST00000695335.1	21.293210000000002	65.86901428571429	SCMH1	-	+
ENST00000695336.1	40.3494	63.083675	SCMH1	-	+
